,,,,,eye_scc,eye_non
  CA: Sutter County (06101),2005-2009,male,45-64,b,0,0
  CA: Sutter County (06101),2005-2009,male,65+,nhw,0,2
  CA: Sutter County (06101),2005-2009,male,65+,hw,0,0
  CA: Sutter County (06101),2005-2009,male,65+,b,0,0
  CA: Sutter County (06101),2005-2009,female,0-44,nhw,0,0
  CA: Sutter County (06101),2005-2009,female,0-44,hw,0,0
  CA: Sutter County (06101),2005-2009,female,0-44,b,0,0
  CA: Sutter County (06101),2005-2009,female,45-64,nhw,0,0
  CA: Sutter County (06101),2005-2009,female,45-64,hw,0,0
  CA: Sutter County (06101),2005-2009,female,45-64,b,0,0
  CA: Sutter County (06101),2005-2009,female,65+,nhw,0,0
  CA: Sutter County (06101),2005-2009,female,65+,hw,0,1
  CA: Sutter County (06101),2005-2009,female,65+,b,0,0
  CA: Sutter County (06101),2010-2013,male,0-44,nhw,0,0
  CA: Sutter County (06101),2010-2013,male,0-44,hw,0,0
  CA: Sutter County (06101),2010-2013,male,0-44,b,0,0
  CA: Sutter County (06101),2010-2013,male,45-64,nhw,0,0
  CA: Sutter County (06101),2010-2013,male,45-64,hw,0,0
  CA: Sutter County (06101),2010-2013,male,45-64,b,0,0
  CA: Sutter County (06101),2010-2013,male,65+,nhw,0,0
  CA: Sutter County (06101),2010-2013,male,65+,hw,0,0
  CA: Sutter County (06101),2010-2013,male,65+,b,0,0
  CA: Sutter County (06101),2010-2013,female,0-44,nhw,0,0
  CA: Sutter County (06101),2010-2013,female,0-44,hw,0,0
  CA: Sutter County (06101),2010-2013,female,0-44,b,0,0
  CA: Sutter County (06101),2010-2013,female,45-64,nhw,0,0
  CA: Sutter County (06101),2010-2013,female,45-64,hw,0,0
  CA: Sutter County (06101),2010-2013,female,45-64,b,0,0
  CA: Sutter County (06101),2010-2013,female,65+,nhw,0,0
  CA: Sutter County (06101),2010-2013,female,65+,hw,0,0
  CA: Sutter County (06101),2010-2013,female,65+,b,0,0
  CA: Tehama County (06103),2000-2004,male,0-44,nhw,0,0
  CA: Tehama County (06103),2000-2004,male,0-44,hw,0,0
  CA: Tehama County (06103),2000-2004,male,0-44,b,0,0
  CA: Tehama County (06103),2000-2004,male,45-64,nhw,0,1
  CA: Tehama County (06103),2000-2004,male,45-64,hw,0,0
  CA: Tehama County (06103),2000-2004,male,45-64,b,0,0
  CA: Tehama County (06103),2000-2004,male,65+,nhw,0,0
  CA: Tehama County (06103),2000-2004,male,65+,hw,0,0
  CA: Tehama County (06103),2000-2004,male,65+,b,0,0
  CA: Tehama County (06103),2000-2004,female,0-44,nhw,0,0
  CA: Tehama County (06103),2000-2004,female,0-44,hw,0,0
  CA: Tehama County (06103),2000-2004,female,0-44,b,0,0
  CA: Tehama County (06103),2000-2004,female,45-64,nhw,0,1
  CA: Tehama County (06103),2000-2004,female,45-64,hw,0,0
  CA: Tehama County (06103),2000-2004,female,45-64,b,0,0
  CA: Tehama County (06103),2000-2004,female,65+,nhw,0,0
  CA: Tehama County (06103),2000-2004,female,65+,hw,0,0
  CA: Tehama County (06103),2000-2004,female,65+,b,0,0
  CA: Tehama County (06103),2005-2009,male,0-44,nhw,0,0
  CA: Tehama County (06103),2005-2009,male,0-44,hw,0,0
  CA: Tehama County (06103),2005-2009,male,0-44,b,0,0
  CA: Tehama County (06103),2005-2009,male,45-64,nhw,0,0
  CA: Tehama County (06103),2005-2009,male,45-64,hw,0,0
  CA: Tehama County (06103),2005-2009,male,45-64,b,0,0
  CA: Tehama County (06103),2005-2009,male,65+,nhw,0,0
  CA: Tehama County (06103),2005-2009,male,65+,hw,0,0
  CA: Tehama County (06103),2005-2009,male,65+,b,0,0
  CA: Tehama County (06103),2005-2009,female,0-44,nhw,0,0
  CA: Tehama County (06103),2005-2009,female,0-44,hw,0,0
  CA: Tehama County (06103),2005-2009,female,0-44,b,0,0
  CA: Tehama County (06103),2005-2009,female,45-64,nhw,0,0
  CA: Tehama County (06103),2005-2009,female,45-64,hw,0,0
  CA: Tehama County (06103),2005-2009,female,45-64,b,0,0
  CA: Tehama County (06103),2005-2009,female,65+,nhw,0,1
  CA: Tehama County (06103),2005-2009,female,65+,hw,0,0
  CA: Tehama County (06103),2005-2009,female,65+,b,0,0
  CA: Tehama County (06103),2010-2013,male,0-44,nhw,0,0
  CA: Tehama County (06103),2010-2013,male,0-44,hw,0,0
  CA: Tehama County (06103),2010-2013,male,0-44,b,0,0
  CA: Tehama County (06103),2010-2013,male,45-64,nhw,0,1
  CA: Tehama County (06103),2010-2013,male,45-64,hw,0,0
  CA: Tehama County (06103),2010-2013,male,45-64,b,0,0
  CA: Tehama County (06103),2010-2013,male,65+,nhw,0,1
  CA: Tehama County (06103),2010-2013,male,65+,hw,0,0
  CA: Tehama County (06103),2010-2013,male,65+,b,0,0
  CA: Tehama County (06103),2010-2013,female,0-44,nhw,0,0
  CA: Tehama County (06103),2010-2013,female,0-44,hw,0,0
  CA: Tehama County (06103),2010-2013,female,0-44,b,0,0
  CA: Tehama County (06103),2010-2013,female,45-64,nhw,0,1
  CA: Tehama County (06103),2010-2013,female,45-64,hw,0,0
  CA: Tehama County (06103),2010-2013,female,45-64,b,0,0
  CA: Tehama County (06103),2010-2013,female,65+,nhw,0,0
  CA: Tehama County (06103),2010-2013,female,65+,hw,0,0
  CA: Tehama County (06103),2010-2013,female,65+,b,0,0
  CA: Trinity County (06105),2000-2004,male,0-44,nhw,0,0
  CA: Trinity County (06105),2000-2004,male,0-44,hw,0,0
  CA: Trinity County (06105),2000-2004,male,0-44,b,0,0
  CA: Trinity County (06105),2000-2004,male,45-64,nhw,0,0
  CA: Trinity County (06105),2000-2004,male,45-64,hw,0,0
  CA: Trinity County (06105),2000-2004,male,45-64,b,0,0
  CA: Trinity County (06105),2000-2004,male,65+,nhw,0,0
  CA: Trinity County (06105),2000-2004,male,65+,hw,0,0
  CA: Trinity County (06105),2000-2004,male,65+,b,0,0
  CA: Trinity County (06105),2000-2004,female,0-44,nhw,0,0
  CA: Trinity County (06105),2000-2004,female,0-44,hw,0,0
  CA: Trinity County (06105),2000-2004,female,0-44,b,0,0
  CA: Trinity County (06105),2000-2004,female,45-64,nhw,0,0
  CA: Trinity County (06105),2000-2004,female,45-64,hw,0,0
  CA: Trinity County (06105),2000-2004,female,45-64,b,0,0
  CA: Trinity County (06105),2000-2004,female,65+,nhw,0,1
  CA: Trinity County (06105),2000-2004,female,65+,hw,0,0
  CA: Trinity County (06105),2000-2004,female,65+,b,0,0
  CA: Trinity County (06105),2005-2009,male,0-44,nhw,0,0
  CA: Trinity County (06105),2005-2009,male,0-44,hw,0,0
  CA: Trinity County (06105),2005-2009,male,0-44,b,0,0
  CA: Trinity County (06105),2005-2009,male,45-64,nhw,0,0
  CA: Trinity County (06105),2005-2009,male,45-64,hw,0,0
  CA: Trinity County (06105),2005-2009,male,45-64,b,0,0
  CA: Trinity County (06105),2005-2009,male,65+,nhw,0,0
  CA: Trinity County (06105),2005-2009,male,65+,hw,0,0
  CA: Trinity County (06105),2005-2009,male,65+,b,0,0
  CA: Trinity County (06105),2005-2009,female,0-44,nhw,0,0
  CA: Trinity County (06105),2005-2009,female,0-44,hw,0,0
  CA: Trinity County (06105),2005-2009,female,0-44,b,0,0
  CA: Trinity County (06105),2005-2009,female,45-64,nhw,0,0
  CA: Trinity County (06105),2005-2009,female,45-64,hw,0,0
  CA: Trinity County (06105),2005-2009,female,45-64,b,0,0
  CA: Trinity County (06105),2005-2009,female,65+,nhw,0,0
  CA: Trinity County (06105),2005-2009,female,65+,hw,0,0
  CA: Trinity County (06105),2005-2009,female,65+,b,0,0
  CA: Trinity County (06105),2010-2013,male,0-44,nhw,0,0
  CA: Trinity County (06105),2010-2013,male,0-44,hw,0,0
  CA: Trinity County (06105),2010-2013,male,0-44,b,0,0
  CA: Trinity County (06105),2010-2013,male,45-64,nhw,0,0
  CA: Trinity County (06105),2010-2013,male,45-64,hw,0,0
  CA: Trinity County (06105),2010-2013,male,45-64,b,0,0
  CA: Trinity County (06105),2010-2013,male,65+,nhw,0,0
  CA: Trinity County (06105),2010-2013,male,65+,hw,0,0
  CA: Trinity County (06105),2010-2013,male,65+,b,0,0
  CA: Trinity County (06105),2010-2013,female,0-44,nhw,0,0
  CA: Trinity County (06105),2010-2013,female,0-44,hw,0,0
  CA: Trinity County (06105),2010-2013,female,0-44,b,0,0
  CA: Trinity County (06105),2010-2013,female,45-64,nhw,0,0
  CA: Trinity County (06105),2010-2013,female,45-64,hw,0,0
  CA: Trinity County (06105),2010-2013,female,45-64,b,0,0
  CA: Trinity County (06105),2010-2013,female,65+,nhw,0,0
  CA: Trinity County (06105),2010-2013,female,65+,hw,0,0
  CA: Trinity County (06105),2010-2013,female,65+,b,0,0
  CA: Tulare County (06107),2000-2004,male,0-44,nhw,0,1
  CA: Tulare County (06107),2000-2004,male,0-44,hw,0,2
  CA: Tulare County (06107),2000-2004,male,0-44,b,0,0
  CA: Tulare County (06107),2000-2004,male,45-64,nhw,1,3
  CA: Tulare County (06107),2000-2004,male,45-64,hw,0,1
  CA: Tulare County (06107),2000-2004,male,45-64,b,0,0
  CA: Tulare County (06107),2000-2004,male,65+,nhw,0,5
  CA: Tulare County (06107),2000-2004,male,65+,hw,0,0
  CA: Tulare County (06107),2000-2004,male,65+,b,0,0
  CA: Tulare County (06107),2000-2004,female,0-44,nhw,0,1
  CA: Tulare County (06107),2000-2004,female,0-44,hw,0,1
  CA: Tulare County (06107),2000-2004,female,0-44,b,0,0
  CA: Tulare County (06107),2000-2004,female,45-64,nhw,0,4
  CA: Tulare County (06107),2000-2004,female,45-64,hw,0,0
  CA: Tulare County (06107),2000-2004,female,45-64,b,0,0
  CA: Tulare County (06107),2000-2004,female,65+,nhw,0,2
  CA: Tulare County (06107),2000-2004,female,65+,hw,0,0
  CA: Tulare County (06107),2000-2004,female,65+,b,0,0
  CA: Tulare County (06107),2005-2009,male,0-44,nhw,1,0
  CA: Tulare County (06107),2005-2009,male,0-44,hw,0,1
  CA: Tulare County (06107),2005-2009,male,0-44,b,0,0
  CA: Tulare County (06107),2005-2009,male,45-64,nhw,0,2
  CA: Tulare County (06107),2005-2009,male,45-64,hw,0,0
  CA: Tulare County (06107),2005-2009,male,45-64,b,0,0
  CA: Tulare County (06107),2005-2009,male,65+,nhw,1,2
  CA: Tulare County (06107),2005-2009,male,65+,hw,0,0
  CA: Tulare County (06107),2005-2009,male,65+,b,0,0
  CA: Tulare County (06107),2005-2009,female,0-44,nhw,0,1
  CA: Tulare County (06107),2005-2009,female,0-44,hw,0,1
  CA: Tulare County (06107),2005-2009,female,0-44,b,0,0
  CA: Tulare County (06107),2005-2009,female,45-64,nhw,0,3
  CA: Tulare County (06107),2005-2009,female,45-64,hw,0,0
  CA: Tulare County (06107),2005-2009,female,45-64,b,0,0
  CA: Tulare County (06107),2005-2009,female,65+,nhw,0,1
  CA: Tulare County (06107),2005-2009,female,65+,hw,0,0
  CA: Tulare County (06107),2005-2009,female,65+,b,0,0
  CA: Tulare County (06107),2010-2013,male,0-44,nhw,0,1
  CA: Tulare County (06107),2010-2013,male,0-44,hw,0,1
  CA: Tulare County (06107),2010-2013,male,0-44,b,0,0
  CA: Tulare County (06107),2010-2013,male,45-64,nhw,0,3
  CA: Tulare County (06107),2010-2013,male,45-64,hw,0,1
  CA: Tulare County (06107),2010-2013,male,45-64,b,0,0
  CA: Tulare County (06107),2010-2013,male,65+,nhw,0,0
  CA: Tulare County (06107),2010-2013,male,65+,hw,0,1
  CA: Tulare County (06107),2010-2013,male,65+,b,0,0
  CA: Tulare County (06107),2010-2013,female,0-44,nhw,1,0
  CA: Tulare County (06107),2010-2013,female,0-44,hw,0,1
  CA: Tulare County (06107),2010-2013,female,0-44,b,0,0
  CA: Tulare County (06107),2010-2013,female,45-64,nhw,0,2
  CA: Tulare County (06107),2010-2013,female,45-64,hw,0,0
  CA: Tulare County (06107),2010-2013,female,45-64,b,0,0
  CA: Tulare County (06107),2010-2013,female,65+,nhw,0,0
  CA: Tulare County (06107),2010-2013,female,65+,hw,0,0
  CA: Tulare County (06107),2010-2013,female,65+,b,0,0
  CA: Tuolumne County (06109),2000-2004,male,0-44,nhw,0,1
  CA: Tuolumne County (06109),2000-2004,male,0-44,hw,0,0
  CA: Tuolumne County (06109),2000-2004,male,0-44,b,0,0
  CA: Tuolumne County (06109),2000-2004,male,45-64,nhw,0,0
  CA: Tuolumne County (06109),2000-2004,male,45-64,hw,0,0
  CA: Tuolumne County (06109),2000-2004,male,45-64,b,0,0
  CA: Tuolumne County (06109),2000-2004,male,65+,nhw,0,3
  CA: Tuolumne County (06109),2000-2004,male,65+,hw,0,0
  CA: Tuolumne County (06109),2000-2004,male,65+,b,0,0
  CA: Tuolumne County (06109),2000-2004,female,0-44,nhw,0,0
  CA: Tuolumne County (06109),2000-2004,female,0-44,hw,0,0
  CA: Tuolumne County (06109),2000-2004,female,0-44,b,0,0
  CA: Tuolumne County (06109),2000-2004,female,45-64,nhw,0,1
  CA: Tuolumne County (06109),2000-2004,female,45-64,hw,0,0
  CA: Tuolumne County (06109),2000-2004,female,45-64,b,0,0
  CA: Tuolumne County (06109),2000-2004,female,65+,nhw,0,1
  CA: Tuolumne County (06109),2000-2004,female,65+,hw,0,0
  CA: Tuolumne County (06109),2000-2004,female,65+,b,0,0
  CA: Tuolumne County (06109),2005-2009,male,0-44,nhw,0,0
  CA: Tuolumne County (06109),2005-2009,male,0-44,hw,0,0
  CA: Tuolumne County (06109),2005-2009,male,0-44,b,0,0
  CA: Tuolumne County (06109),2005-2009,male,45-64,nhw,0,1
  CA: Tuolumne County (06109),2005-2009,male,45-64,hw,0,0
  CA: Tuolumne County (06109),2005-2009,male,45-64,b,0,0
  CA: Tuolumne County (06109),2005-2009,male,65+,nhw,0,2
  CA: Tuolumne County (06109),2005-2009,male,65+,hw,0,0
  CA: Tuolumne County (06109),2005-2009,male,65+,b,0,0
  CA: Tuolumne County (06109),2005-2009,female,0-44,nhw,0,0
  CA: Tuolumne County (06109),2005-2009,female,0-44,hw,0,0
  CA: Tuolumne County (06109),2005-2009,female,0-44,b,0,0
  CA: Tuolumne County (06109),2005-2009,female,45-64,nhw,0,0
  CA: Tuolumne County (06109),2005-2009,female,45-64,hw,0,0
  CA: Tuolumne County (06109),2005-2009,female,45-64,b,0,0
  CA: Tuolumne County (06109),2005-2009,female,65+,nhw,0,1
  CA: Tuolumne County (06109),2005-2009,female,65+,hw,0,0
  CA: Tuolumne County (06109),2005-2009,female,65+,b,0,0
  CA: Tuolumne County (06109),2010-2013,male,0-44,nhw,0,1
  CA: Tuolumne County (06109),2010-2013,male,0-44,hw,0,0
  CA: Tuolumne County (06109),2010-2013,male,0-44,b,0,0
  CA: Tuolumne County (06109),2010-2013,male,45-64,nhw,0,1
  CA: Tuolumne County (06109),2010-2013,male,45-64,hw,0,0
  CA: Tuolumne County (06109),2010-2013,male,45-64,b,0,0
  CA: Tuolumne County (06109),2010-2013,male,65+,nhw,0,0
  CA: Tuolumne County (06109),2010-2013,male,65+,hw,0,0
  CA: Tuolumne County (06109),2010-2013,male,65+,b,0,0
  CA: Tuolumne County (06109),2010-2013,female,0-44,nhw,0,1
  CA: Tuolumne County (06109),2010-2013,female,0-44,hw,0,0
  CA: Tuolumne County (06109),2010-2013,female,0-44,b,0,0
  CA: Tuolumne County (06109),2010-2013,female,45-64,nhw,0,0
  CA: Tuolumne County (06109),2010-2013,female,45-64,hw,0,0
  CA: Tuolumne County (06109),2010-2013,female,45-64,b,0,0
  CA: Tuolumne County (06109),2010-2013,female,65+,nhw,0,0
  CA: Tuolumne County (06109),2010-2013,female,65+,hw,0,0
  CA: Tuolumne County (06109),2010-2013,female,65+,b,0,0
  CA: Ventura County (06111),2000-2004,male,0-44,nhw,0,5
  CA: Ventura County (06111),2000-2004,male,0-44,hw,0,0
  CA: Ventura County (06111),2000-2004,male,0-44,b,0,0
  CA: Ventura County (06111),2000-2004,male,45-64,nhw,0,9
  CA: Ventura County (06111),2000-2004,male,45-64,hw,0,0
  CA: Ventura County (06111),2000-2004,male,45-64,b,0,0
  CA: Ventura County (06111),2000-2004,male,65+,nhw,1,6
  CA: Ventura County (06111),2000-2004,male,65+,hw,1,0
  CA: Ventura County (06111),2000-2004,male,65+,b,0,0
  CA: Ventura County (06111),2000-2004,female,0-44,nhw,0,7
  CA: Ventura County (06111),2000-2004,female,0-44,hw,1,0
  CA: Ventura County (06111),2000-2004,female,0-44,b,0,0
  CA: Ventura County (06111),2000-2004,female,45-64,nhw,0,5
  CA: Ventura County (06111),2000-2004,female,45-64,hw,0,0
  CA: Ventura County (06111),2000-2004,female,45-64,b,0,0
  CA: Ventura County (06111),2000-2004,female,65+,nhw,1,3
  CA: Ventura County (06111),2000-2004,female,65+,hw,0,1
  CA: Ventura County (06111),2000-2004,female,65+,b,0,0
  CA: Ventura County (06111),2005-2009,male,0-44,nhw,0,2
  CA: Ventura County (06111),2005-2009,male,0-44,hw,0,6
  CA: Ventura County (06111),2005-2009,male,0-44,b,0,0
  CA: Ventura County (06111),2005-2009,male,45-64,nhw,1,6
  CA: Ventura County (06111),2005-2009,male,45-64,hw,0,2
  CA: Ventura County (06111),2005-2009,male,45-64,b,0,0
  CA: Ventura County (06111),2005-2009,male,65+,nhw,2,3
  CA: Ventura County (06111),2005-2009,male,65+,hw,0,0
  CA: Ventura County (06111),2005-2009,male,65+,b,0,0
  CA: Ventura County (06111),2005-2009,female,0-44,nhw,1,1
  CA: Ventura County (06111),2005-2009,female,0-44,hw,0,3
  CA: Ventura County (06111),2005-2009,female,0-44,b,0,0
  CA: Ventura County (06111),2005-2009,female,45-64,nhw,1,1
  CA: Ventura County (06111),2005-2009,female,45-64,hw,0,0
  CA: Ventura County (06111),2005-2009,female,45-64,b,0,0
  CA: Ventura County (06111),2005-2009,female,65+,nhw,0,3
  CA: Ventura County (06111),2005-2009,female,65+,hw,1,0
  CA: Ventura County (06111),2005-2009,female,65+,b,0,0
  CA: Ventura County (06111),2010-2013,male,0-44,nhw,0,0
  CA: Ventura County (06111),2010-2013,male,0-44,hw,1,3
  CA: Ventura County (06111),2010-2013,male,0-44,b,0,0
  CA: Ventura County (06111),2010-2013,male,45-64,nhw,0,4
  CA: Ventura County (06111),2010-2013,male,45-64,hw,0,0
  CA: Ventura County (06111),2010-2013,male,45-64,b,0,0
  CA: Ventura County (06111),2010-2013,male,65+,nhw,1,5
  CA: Ventura County (06111),2010-2013,male,65+,hw,0,0
  CA: Ventura County (06111),2010-2013,male,65+,b,0,0
  CA: Ventura County (06111),2010-2013,female,0-44,nhw,0,3
  CA: Ventura County (06111),2010-2013,female,0-44,hw,0,3
  CA: Ventura County (06111),2010-2013,female,0-44,b,0,0
  CA: Ventura County (06111),2010-2013,female,45-64,nhw,1,8
  CA: Ventura County (06111),2010-2013,female,45-64,hw,0,1
  CA: Ventura County (06111),2010-2013,female,45-64,b,0,0
  CA: Ventura County (06111),2010-2013,female,65+,nhw,1,5
  CA: Ventura County (06111),2010-2013,female,65+,hw,1,0
  CA: Ventura County (06111),2010-2013,female,65+,b,0,0
  CA: Yolo County (06113),2000-2004,male,0-44,nhw,0,0
  CA: Yolo County (06113),2000-2004,male,0-44,hw,0,0
  CA: Yolo County (06113),2000-2004,male,0-44,b,0,0
  CA: Yolo County (06113),2000-2004,male,45-64,nhw,0,3
  CA: Yolo County (06113),2000-2004,male,45-64,hw,0,0
  CA: Yolo County (06113),2000-2004,male,45-64,b,0,0
  CA: Yolo County (06113),2000-2004,male,65+,nhw,0,1
  CA: Yolo County (06113),2000-2004,male,65+,hw,0,1
  CA: Yolo County (06113),2000-2004,male,65+,b,0,0
  CA: Yolo County (06113),2000-2004,female,0-44,nhw,0,1
  CA: Yolo County (06113),2000-2004,female,0-44,hw,0,0
  CA: Yolo County (06113),2000-2004,female,0-44,b,0,0
  CA: Yolo County (06113),2000-2004,female,45-64,nhw,0,1
  CA: Yolo County (06113),2000-2004,female,45-64,hw,0,0
  CA: Yolo County (06113),2000-2004,female,45-64,b,0,0
  CA: Yolo County (06113),2000-2004,female,65+,nhw,0,2
  CA: Yolo County (06113),2000-2004,female,65+,hw,0,0
  CA: Yolo County (06113),2000-2004,female,65+,b,0,0
  CA: Yolo County (06113),2005-2009,male,0-44,nhw,0,0
  CA: Yolo County (06113),2005-2009,male,0-44,hw,0,2
  CA: Yolo County (06113),2005-2009,male,0-44,b,0,0
  CA: Yolo County (06113),2005-2009,male,45-64,nhw,0,0
  CA: Yolo County (06113),2005-2009,male,45-64,hw,0,0
  CA: Yolo County (06113),2005-2009,male,45-64,b,0,0
  CA: Yolo County (06113),2005-2009,male,65+,nhw,0,2
  CA: Yolo County (06113),2005-2009,male,65+,hw,0,0
  CA: Yolo County (06113),2005-2009,male,65+,b,0,0
  CA: Yolo County (06113),2005-2009,female,0-44,nhw,0,0
  CA: Yolo County (06113),2005-2009,female,0-44,hw,0,0
  CA: Yolo County (06113),2005-2009,female,0-44,b,0,0
  CA: Yolo County (06113),2005-2009,female,45-64,nhw,0,2
  CA: Yolo County (06113),2005-2009,female,45-64,hw,0,0
  CA: Yolo County (06113),2005-2009,female,45-64,b,0,0
  CA: Yolo County (06113),2005-2009,female,65+,nhw,0,1
  CA: Yolo County (06113),2005-2009,female,65+,hw,0,0
  CA: Yolo County (06113),2005-2009,female,65+,b,0,0
  CA: Yolo County (06113),2010-2013,male,0-44,nhw,0,1
  CA: Yolo County (06113),2010-2013,male,0-44,hw,0,0
  CA: Yolo County (06113),2010-2013,male,0-44,b,0,0
  CA: Yolo County (06113),2010-2013,male,45-64,nhw,0,1
  CA: Yolo County (06113),2010-2013,male,45-64,hw,1,0
  CA: Yolo County (06113),2010-2013,male,45-64,b,0,0
  CA: Yolo County (06113),2010-2013,male,65+,nhw,0,0
  CA: Yolo County (06113),2010-2013,male,65+,hw,0,0
  CA: Yolo County (06113),2010-2013,male,65+,b,0,0
  CA: Yolo County (06113),2010-2013,female,0-44,nhw,0,0
  CA: Yolo County (06113),2010-2013,female,0-44,hw,0,0
  CA: Yolo County (06113),2010-2013,female,0-44,b,0,0
  CA: Yolo County (06113),2010-2013,female,45-64,nhw,0,0
  CA: Yolo County (06113),2010-2013,female,45-64,hw,0,0
  CA: Yolo County (06113),2010-2013,female,45-64,b,0,0
  CA: Yolo County (06113),2010-2013,female,65+,nhw,0,1
  CA: Yolo County (06113),2010-2013,female,65+,hw,1,0
  CA: Yolo County (06113),2010-2013,female,65+,b,0,0
  CA: Yuba County (06115),2000-2004,male,0-44,nhw,0,0
  CA: Yuba County (06115),2000-2004,male,0-44,hw,0,0
  CA: Yuba County (06115),2000-2004,male,0-44,b,0,0
  CA: Yuba County (06115),2000-2004,male,45-64,nhw,1,0
  CA: Yuba County (06115),2000-2004,male,45-64,hw,0,0
  CA: Yuba County (06115),2000-2004,male,45-64,b,0,0
  CA: Yuba County (06115),2000-2004,male,65+,nhw,0,1
  CA: Yuba County (06115),2000-2004,male,65+,hw,0,0
  CA: Yuba County (06115),2000-2004,male,65+,b,0,0
  CA: Yuba County (06115),2000-2004,female,0-44,nhw,0,2
  CA: Yuba County (06115),2000-2004,female,0-44,hw,0,0
  CA: Yuba County (06115),2000-2004,female,0-44,b,0,0
  CA: Yuba County (06115),2000-2004,female,45-64,nhw,0,0
  CA: Yuba County (06115),2000-2004,female,45-64,hw,0,0
  CA: Yuba County (06115),2000-2004,female,45-64,b,0,0
  CA: Yuba County (06115),2000-2004,female,65+,nhw,0,0
  CA: Yuba County (06115),2000-2004,female,65+,hw,0,0
  CA: Yuba County (06115),2000-2004,female,65+,b,0,0
  CA: Yuba County (06115),2005-2009,male,0-44,nhw,0,0
  CA: Yuba County (06115),2005-2009,male,0-44,hw,0,0
  CA: Yuba County (06115),2005-2009,male,0-44,b,0,0
  CA: Yuba County (06115),2005-2009,male,45-64,nhw,0,0
  CA: Yuba County (06115),2005-2009,male,45-64,hw,0,0
  CA: Yuba County (06115),2005-2009,male,45-64,b,0,0
  CA: Yuba County (06115),2005-2009,male,65+,nhw,0,0
  CA: Yuba County (06115),2005-2009,male,65+,hw,0,0
  CA: Yuba County (06115),2005-2009,male,65+,b,0,0
  CA: Yuba County (06115),2005-2009,female,0-44,nhw,0,0
  CA: Yuba County (06115),2005-2009,female,0-44,hw,0,0
  CA: Yuba County (06115),2005-2009,female,0-44,b,0,0
  CA: Yuba County (06115),2005-2009,female,45-64,nhw,0,0
  CA: Yuba County (06115),2005-2009,female,45-64,hw,0,0
  CA: Yuba County (06115),2005-2009,female,45-64,b,0,0
  CA: Yuba County (06115),2005-2009,female,65+,nhw,0,0
  CA: Yuba County (06115),2005-2009,female,65+,hw,0,0
  CA: Yuba County (06115),2005-2009,female,65+,b,0,0
  CA: Yuba County (06115),2010-2013,male,0-44,nhw,0,1
  CA: Yuba County (06115),2010-2013,male,0-44,hw,0,1
  CA: Yuba County (06115),2010-2013,male,0-44,b,0,0
  CA: Yuba County (06115),2010-2013,male,45-64,nhw,0,0
  CA: Yuba County (06115),2010-2013,male,45-64,hw,0,0
  CA: Yuba County (06115),2010-2013,male,45-64,b,0,0
  CA: Yuba County (06115),2010-2013,male,65+,nhw,0,0
  CA: Yuba County (06115),2010-2013,male,65+,hw,0,0
  CA: Yuba County (06115),2010-2013,male,65+,b,0,0
  CA: Yuba County (06115),2010-2013,female,0-44,nhw,0,0
  CA: Yuba County (06115),2010-2013,female,0-44,hw,0,0
  CA: Yuba County (06115),2010-2013,female,0-44,b,0,0
  CA: Yuba County (06115),2010-2013,female,45-64,nhw,0,0
  CA: Yuba County (06115),2010-2013,female,45-64,hw,0,0
  CA: Yuba County (06115),2010-2013,female,45-64,b,0,0
  CA: Yuba County (06115),2010-2013,female,65+,nhw,1,0
  CA: Yuba County (06115),2010-2013,female,65+,hw,0,0
  CA: Yuba County (06115),2010-2013,female,65+,b,0,0
  CT: Fairfield County (09001),2000-2004,male,0-44,nhw,0,7
  CT: Fairfield County (09001),2000-2004,male,0-44,hw,0,2
  CT: Fairfield County (09001),2000-2004,male,0-44,b,0,0
  CT: Fairfield County (09001),2000-2004,male,45-64,nhw,1,10
  CT: Fairfield County (09001),2000-2004,male,45-64,hw,0,0
  CT: Fairfield County (09001),2000-2004,male,45-64,b,0,0
  CT: Fairfield County (09001),2000-2004,male,65+,nhw,0,8
  CT: Fairfield County (09001),2000-2004,male,65+,hw,0,0
  CT: Fairfield County (09001),2000-2004,male,65+,b,0,0
  CT: Fairfield County (09001),2000-2004,female,0-44,nhw,0,5
  CT: Fairfield County (09001),2000-2004,female,0-44,hw,0,0
  CT: Fairfield County (09001),2000-2004,female,0-44,b,0,1
  CT: Fairfield County (09001),2000-2004,female,45-64,nhw,0,6
  CT: Fairfield County (09001),2000-2004,female,45-64,hw,0,0
  CT: Fairfield County (09001),2000-2004,female,45-64,b,0,0
  CT: Fairfield County (09001),2000-2004,female,65+,nhw,0,11
  CT: Fairfield County (09001),2000-2004,female,65+,hw,0,0
  CT: Fairfield County (09001),2000-2004,female,65+,b,0,0
  CT: Fairfield County (09001),2005-2009,male,0-44,nhw,0,6
  CT: Fairfield County (09001),2005-2009,male,0-44,hw,0,0
  CT: Fairfield County (09001),2005-2009,male,0-44,b,0,0
  CT: Fairfield County (09001),2005-2009,male,45-64,nhw,0,5
  CT: Fairfield County (09001),2005-2009,male,45-64,hw,0,1
  CT: Fairfield County (09001),2005-2009,male,45-64,b,0,0
  CT: Fairfield County (09001),2005-2009,male,65+,nhw,2,4
  CT: Fairfield County (09001),2005-2009,male,65+,hw,0,0
  CT: Fairfield County (09001),2005-2009,male,65+,b,0,0
  CT: Fairfield County (09001),2005-2009,female,0-44,nhw,0,7
